doc_id,sentence,spanish_sentence,arabic_sentence,chinese_sentence,japanese_sentence,back_to_english_sentence
196,"Bruh, big yikes","Hombre, gran asco",إنسان، عارض كبير,人类，主要反对者,人間、主な反対者,"Human, main opponent."
197,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.","أهلاً بكم, كل الفريق ينتظر.","欢迎你们,全队都在等待。",ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
198,"Fam, touch some grass","Hombre, toca un poco de hierba","أهلاً بكم,  يلعب  بعض  الناس  في  الماريجوانا","欢迎你们, 有些人在玩大麻",歓迎します、ある人たちは大麻を楽しんでいます,Some people are enjoying marijuana.
199,"Bruh, you ghosted again","Hombre, me has vuelto a dejar de lado de nuevo.",إنسان، أهملتني مرة أخرى.,人类，还是忽视了我。,人間は私を無視した。,People ignored me.
200,"Fam, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
201,"Bruh, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
202,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
203,"Dude, touch some grass","Hombre, toca un poco de hierba.","أهلاً بكم,  يلعب الرجل قليلاً بالخيل.","欢迎你们,  那个男人在骑马。",ようこそ、  その男が馬に乗っている。,"Welcome, that man is riding a horse."
204,"Yo, big yikes","Yo, ¡ay caramba!",أنا، أيّها الجحيم!,我，啊这灾难！,私は、ああこの災難！,"Oh no, this disaster!"
205,"Mate, you ghosted again","Amigo, me has vuelto a esconder.",أحبك، لقد اختفيت عنك مرة أخرى.,我爱你，已经再次消失了。,私はあなたを愛しているがもう一度失われた。,"I love you, but you are lost to me again."
206,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",إنسان، جاء هنا أو ماذا تفعل.,人类，来了还是干什么。,人間、来たの？何をするの？,Who's that? What are you doing?
207,"Dude, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
208,"Yo, pull up or stay sus","Yo, sube o quédate aquí.","أنا, صعد أو بقى هنا.","我, 或者是留在这里。",私、またはここに残る。,"I'll stay here, or I'll be left behind."
209,"Bro, big yikes","Hombre, ¡gran horror!",إنسان، إعجاب كبير!,人類，非常喜歡!,人類はとても喜んでいます。,Humans are very happy.
210,"Bro, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بجدية, أنا قليلًا متوتر.","欢迎你们,  他说得很好, 我有点紧张。",ようこそ、  彼はとてもうまく話す、 私は少し緊張している。,"Welcome, he speaks very well, I am a bit nervous."
211,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",إنسان، هذه موجة تماماً طبيعية.,人类，这是一种完全自然的现象。,人間は、完全に自然な現象の一種である。,Humans are a kind of completely natural phenomenon.
212,"Mate, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.","أحبك, أظهر بعض الشغف.",我爱你，表现出一些激情。,私はあなたを愛している、そしてあなたに対する私の感情は激しい。,"I love you, and my feelings for you are intense."
213,"Mate, stop cappin’, lowkey annoyed","Amigo, deja de hablar por hablar, estoy un poco molesto.",أهلاً يابني، توقف عن الكلام، أنا قليلًا غاضب.,欢迎你，儿子，别说话了，我有点生气。,あなたを迎え入れて、息子よ、もう言葉を口にしないでください、私は少し怒っています。,"Welcome me in, son, and don't say another word, I'm a little angry."
214,"Bro, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بجدية, أنا قليلًا متوتر.","欢迎你们,  他说得很好, 我有点紧张。",ようこそ、  彼はとてもうまく話す、 私は少し緊張している。,"Welcome, he speaks very well, I am a bit nervous."
215,"Yo, whole squad waitin’","Yo, toda la escuadra está esperando.",أنا، كل الفريق منتظر.,我是整个团队的期待。,私たちは全てのチームの期待です。,We are the expectations of all teams.
216,"Sis, you ghosted again","Sis, me has vuelto a esconder.",سيس، ألقيتك في الظل مرة أخرى.,他会把你再次投入到黑暗中。,彼はあなたをまた暗い世界に戻す。,He will send you back to the dark world again.
217,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は完全に中庸な波です。,"Humans, humanity is a completely mediocre wave."
218,"Dude, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
219,"Mate, you ghosted again","Amigo, me has vuelto a esconder.",أحبك، لقد اختفيت عنك مرة أخرى.,我爱你，已经再次消失了。,私はあなたを愛しているがもう一度失われた。,"I love you, but you are lost to me again."
220,"Dude, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の趣味があります。,"I'm an ordinary person, but I have some hobbies."
221,"Dude, you ghosted again","Hombre, me has vuelto a esconder.",أنا رجل، أخفيتك مرة أخرى.,我是一个男人，我再次背叛了你。,私は男の人です。私がまたあなたを裏切った。,I am a man. I betrayed you again.
222,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
223,"Homie, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
224,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
225,"Sis, touch some grass","Hija, toca un poco de hierba.",بنت، ضع بعض الأعشاب.,一个女孩，放一些草。,１人の少女が、草を散らす。,A young girl is scattering the grass.
226,"Homie, lowkey flexin’","Amigo, bajo la mesa estoy mostrando algo.",أحبك، تحت الطاولة أنا أظهر لك شيئًا.,我爱你，桌子下面我给你看了什么。,私はあなたを愛している、机の下であなたに見せたものは何だった。,"I love you, what was it that I showed you under the desk."
227,"Sis, big yikes","Ay, caramba grande.",أوه، كارامبا كبيرة.,哦，卡拉马布很大。,ああ、カルマーブは大きい。,"Oh, Karma is big."
228,"Dude, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
229,"Sis, pull up or stay sus","Sí, sube o quédate aquí.",نعم، اعلى أو بقى هنا.,是的，我还在这里。,はい、まだここにいます。,"Yes, I'm still here."
230,"Homie, big yikes","Amigo, gran asco",أحبك، كبيرة الإهانة,我爱你，很大的侮辱,私があなたを愛しているのに、そんな言葉を言われることはとても失礼だ。,"Even though I love you, it's very impolite to say such words to me."
231,"Yo, big yikes","Yo, ¡ay caramba!",أنا، أيّها الجحيم!,我，啊这灾难！,私は、ああこの災難！,"Oh no, this disaster!"
232,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
233,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は中庸を超えたものではない。,"Humans, humanity is not beyond the middle."
234,"Bro, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まってください。,"Please stay here, or come here, or stay there."
235,"Sis, touch some grass","Hija, toca un poco de hierba.",بنت، ضع بعض الأعشاب.,一个女孩，放一些草。,１人の少女が、草を散らす。,A young girl is scattering the grass.
236,"Bruh, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
237,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
238,"Yo, IRL you fold faster than a Walmart chair","Yo, en la vida real, tú plegas más rápido que una silla de Walmart.",أنا، في الحياة الحقيقية، أنت folds أكثر سريعًا من كرسي في وول مارت.,在真实的生活中，我比沃尔玛的椅子更快地折叠。,実際の生活の中で私はウォルマートの椅子よりも速く折りたたまれる。,"In real life, I fold up faster than a Walmart chair."
239,"Fam, you ghosted again","Amigo, me has vuelto a dejar plantado.",أحبك، فكنت قد قمت بتركه مجددا.,我爱你，曾经我又把他丢了。,私はあなたを愛している、そして私は彼をもう一度失った。,"I love you, and I've lost him again."
240,"Mate, this vibe is straight mid","Amigo, esta vibra es completamente normal.","أحبك, هذه الحالة طبيعية تمامًا.",我爱你，这种情况完全正常。,私はあなたを愛している、このような事態は完全に正常だ。,"I love you, this kind of situation is completely normal."
241,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
242,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
243,"Fam, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
244,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
245,"Fam, big yikes","Amigo, ¡qué horror grande!",أحبك، ما هذا العار؟,我爱你，怎么会有这样的耻辱？,私があなたを愛しているのに、こんな恥辱が起こるなんて。,"Despite my loving you, something like this humiliation happens."
246,"Homie, stop cappin’, lowkey annoyed","Amigo, detente con eso, estoy un poco molesto.","أهلاً يابن الحبيب, اتركني, أنا قليلًا غاضب.",欢迎你，亲爱的儿子，别烦我，我有点生气。,あなたを歓迎します、愛する息子、少し怒っていますから、困るな。,"I welcome you, my beloved son, I'm a bit angry, so be careful."
247,"Dude, pull up or stay sus","Hombre, sube o quédate sus.","أنتظر منك, صعد أو بقي هناك.",我等你，去上楼或留在那裡。,私たちはあなたを待っていて、階段に上がるかそこに残るか。,"We've been waiting for you, and now you have to decide whether to go up the stairs or stay there."
248,"Bruh, stop cappin’, lowkey annoyed","Hombre, detente con eso, estoy un poco molesto.","أهلاً بكم,  إيقافك هذا, أنا قليلًا غاضب.","欢迎你们,  这是停止, 我有点生气.",ようこそ、  これは終わり、 私は少し怒っている。,"Welcome, this is the end, I'm a bit angry."
249,"Mate, whole squad waitin’","Amigo, toda la escuadra está esperando.","أحبك, كل الفريق ينتظر.",我爱你，整个团队都在等你。,私たちはあなたを愛しています、全てのチームがあなたを待っています。,"We love you, and all the teams are waiting for you."
250,"Bro, big yikes","Hombre, ¡gran horror!",إنسان، إعجاب كبير!,人類，非常喜歡!,人類はとても喜んでいます。,Humans are very happy.
251,"Mate, this vibe is straight mid","Amigo, esta onda es completamente normal.","أحبك, هذه موجة تماماً طبيعية.",我爱你，这是完全正常的。,私があなたを愛していることは、完全に正常なことです。,"I love you, and that's perfectly normal."
252,"Mate, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
253,"Fam, big yikes","Amigo, ¡qué horror grande!",أحبك، ما هذا العار؟,我爱你，怎么会有这样的耻辱？,私があなたを愛しているのに、こんな恥辱が起こるなんて。,"Despite my loving you, something like this humiliation happens."
254,"Yo, you ghosted again",Tú me has dejado de nuevo.,أنت قد تركتني مرة أخرى.,你又离开我了。,あなたはまた私を離れました。,You have left me again.
255,"Homie, lowkey flexin’","Amigo, bajo la mesa estoy mostrando algo.",أحبك، تحت الطاولة أنا أظهر لك شيئًا.,我爱你，桌子底下我给你看了什么。,私はあなたを愛している、机の下で私があなたに見せたものは何だった。,"I love you, what was it that I showed you under the desk."
256,"Homie, big yikes","Amigo, gran asco",أحبك، كبيرة الإهانة,我爱你，很大的侮辱,私があなたを愛しているのに、そんな言葉を言われることはとても失礼だ。,"Even though I love you, it's very impolite to say such words to me."
257,"Homie, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I also smoke marijuana."
258,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",أهلاً بكم، هيا هنا أو ماذا تفعل.,欢迎你们，来这里做什么呢？,ようこそ、ここに何をしますか。,"Welcome, what are you doing here."
259,"Bro, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
260,"Bro, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
261,"Bro, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まることをお勧めします。,"You're welcome to come here, or you're welcome to stay there, but I recommend you stay here."
262,"Homie, pull up or stay sus","Amigo, ven a parar o quédate así",أهلاً يابن الحب، تأتي وتنزل أو تبقى كذلك,欢迎你，爱子，来吧，下降吧，或者就这样留下,歓迎するよ、愛する子、来て、降りて、またはここに留まるよ。,"Welcome anytime, my beloved child, come, get off, or stay here."
263,"Fam, whole squad waitin’","Hombre, toda la plantilla está esperando.",أهلاً بكم، كل الفريق منتظر.,欢迎你们，整个团队都在等待。,ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
264,"Yo, IRL you fold faster than a Walmart chair","Yo, en la vida real, tú plegas más rápido que una silla de Walmart.",أنا، في الحياة الحقيقية، أنت folds أكثر سريعًا من كرسي في وول مارت.,在真实的生活中，我比沃尔玛的椅子更快地折叠。,実際の生活の中で私はウォルマートの椅子よりも速く折りたたまれる。,"In real life, I fold up faster than a Walmart chair."
265,"Fam, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
266,"Bruh, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
267,"Yo, stop cappin’, lowkey annoyed","Yo, deja de hablar por hablar, estoy un poco molesto.","أنا, اترك الحديث لمرة واحدة, أنا قليلًا غاضب.",我，暂时不再说了，我有点生气。,私は今のところもう話さない、少し怒っている。,"I won't talk about it for now, I'm a bit angry."
268,"Bro, whole squad waitin’","Hermano, toda la escuadra está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
269,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الأمور طبيعية تمامًا.,我是一个男人，这是完全正常的。,私は男性です、これは完全に正常です。,"I am a man, this is completely normal."
270,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
271,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
272,"Homie, you ghosted again","Amigo, me has vuelto a esconder.",أحبك، لقد اختفيت عنك مرة أخرى.,我爱你，已经再次消失了。,私はあなたを愛しているがもう一度失われた。,"I love you, but you are lost to me again."
273,"Mate, you ghosted again","Amigo, me has vuelto a esconder.",أحبك، لقد اختفيت عنك مرة أخرى.,我爱你，已经再次消失了。,私はあなたを愛しているがもう一度失われた。,"I love you, but you are lost to me again."
274,"Yo, IRL you fold faster than a Walmart chair","Yo, en la vida real, tú plegas más rápido que una silla de Walmart.",أنا، في الحياة الحقيقية، أنت folds أكثر سريعًا من كرسي في وول مارت.,在真实的生活中，我比沃尔玛的椅子更快地折叠。,実際の生活の中で私はウォルマートの椅子よりも速く折りたたまれる。,"In real life, I fold up faster than a Walmart chair."
275,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
276,"Homie, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
277,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
278,"Homie, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هزّي رقبتك، سايغما,我爱你，轻轻地抚摸你的脖子，Σ,私はあなたを愛している、あなたの首に優しく触れています。,"I love you, I'm gently touching your neck."
279,"Sis, IRL you fold faster than a Walmart chair","Sí, en la vida real, doblas más rápido que una silla de Walmart.",نعم، في الحياة الحقيقية، تدوّرت أكثر من كرسي في وول مارت.,是的，在现实生活中，沃尔玛有很多座位。,実際には、現実の生活の中でウォルマートは多くの席がある。,"In reality, Walmart has many locations in real life."
280,"Mate, you ghosted again","Amigo, me has vuelto a hacer ghost.",أحبك، لكنك أصبحتي مجهولاً.,我爱你，但你变得陌生了。,私はあなたを愛しているが、あなたは変わってしまった。,"I love you, but you've changed."
281,"Dude, you ghosted again","Hombre, me has vuelto a esconder.",أنا رجل، أخفيتك مرة أخرى.,我是一个男人，我再次背叛了你。,私は男の人です。私がまたあなたを裏切った。,I am a man. I betrayed you again.
282,"Bruh, skibidi outta here, sigma style","Hombre, skibidi fuera de aquí, estilo sigma","أهلاً بكم, أخرجوا من هنا, سايغما","欢迎你们, 请离开这里, sigma",ようこそしたいと思います、ここを出てください、シグマ,"Welcome to join, please leave here, Sigma."
283,"Sis, touch some grass","Hija, toca un poco de hierba.",بنت، ضع بعض الأعشاب.,一个女孩，放一些草。,１人の少女が、草を散らす。,A young girl is scattering the grass.
284,"Mate, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.",أحبك،  أظهرت بعض الشغف.,我爱你，表现出了一些热情。,私はあなたを愛している。熱意を示した。,I love you. I showed my sincerity.
285,"Dude, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
286,"Yo, you ghosted again",Tú me has dejado de nuevo.,أنت قد تركتني مرة أخرى.,你又离开我了。,あなたはまた私を離れました。,You have left me again.
287,"Yo, stop cappin’, lowkey annoyed","Yo, deja de hablar por hablar, estoy un poco molesto.","أنا, اترك الحديث لمرة واحدة, أنا قليلًا غاضب.",我，暂时不再说了，我有点生气。,私は今のところもう話さない、少し怒っている。,"I won't talk about it for now, I'm a bit angry."
288,"Yo, this vibe is straight mid","Yo, esta vibra es directa y del medio.",أنا، هذه الفائقة مباشرة ووسطى.,我是直接和中立的。,私は直接かつ中立的なものである。,I am direct and neutral.
289,"Sis, big yikes","Ay, caramba grande.",أوه، كارامبا كبيرة.,哦，卡拉马布很大。,ああ、カルマーブは大きい。,"Oh, Karma is big."
290,"Bruh, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
291,"Sis, IRL you fold faster than a Walmart chair","Sí, en la vida real, doblas más rápido que una silla de Walmart.",نعم، في الحياة الحقيقية، تدوّرت أكثر من كرسي في وول مارت.,是的，在现实生活中，沃尔玛有很多座位。,実際には、現実の生活の中でウォルマートは多くの席がある。,"In reality, Walmart has many locations in real life."
292,"Bro, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
293,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
294,"Sis, IRL you fold faster than a Walmart chair","Sí, en la vida real, doblas más rápido que una silla de Walmart.",نعم، في الحياة الحقيقية، تدوّرت أكثر من كرسي في وول مارت.,是的，在现实生活中，沃尔玛有很多座位。,実際には、現実の生活の中でウォルマートは多くの席がある。,"In reality, Walmart has many locations in real life."
295,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الموجة تمامًا طبيعية.,我是一个男人，这是一次完全自然的海啸。,私は男性です。これは完全に自然な津波です。,I am a man. This is a completely natural tsunami.
296,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
297,"Bruh, IRL you fold faster than a Walmart chair","Hombre, en la vida real, doblas más rápido que una silla de Walmart.",أنا رجل، في الحياة الحقيقية، أضرب أكثر من مرة من كرسي وول مارت.,我是一个男人，在现实生活中，我在沃尔玛的椅子上打过多次。,私は男性です。現実の生活の中で私はウォルマートの椅子で何度も打ったことがあります。,"I am a man. In real life, I have hit a Walmart chair many times."
298,"Bro, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まることをお勧めします。,"You're welcome to come here, or you're welcome to stay there, but I recommend you stay here."
299,"Homie, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I'm also smoking a little marijuana."
300,"Homie, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I also smoke marijuana."
301,"Homie, big yikes","Amigo, gran asco",أحبك، كبيرة الإهانة,我爱你，很大的侮辱,私があなたを愛しているのに、そんな言葉を言われることはとても失礼だ。,"Even though I love you, it's very impolite to say such words to me."
302,"Bro, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まってください。,"Please stay here, or come here, or stay there."
303,"Yo, you ghosted again",Tú me has dejado de nuevo.,أنت قد تركتني مرة أخرى.,你又离开我了。,あなたはまた私を離れました。,You left me again.
304,"Bro, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は中庸を超えたものではない。,"Humans, humanity is not beyond the middle."
305,"Dude, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هزّي رقصة السكبدي، طريقة سيغما,我爱你，跳一支斯基波舞，Sigma的方式,私があなたを愛している、スキップダンスを一曲、シグマのスタイルで,"I love you, skipping one song, in the style of Sigma."
306,"Bro, whole squad waitin’","Hermano, toda la escuadra está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
307,"Fam, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.","أحبك, أظهر بعض الحماس.",我爱你，表现出一些热情。,私はあなたを愛している、少しの熱意を示している。,"I love you, showing a little passion."
308,"Sis, lowkey flexin’","Sí, estoy mostrando un poco de orgullo.",نعم، أظهر بعض الشغف.,是的，表现出了一些热情。,はい、少しの熱意を示しました。,"Yes, I showed a little enthusiasm."
309,"Fam, skibidi outta here, sigma style","Amigo, skibidi vámonos de aquí, estilo sigma",أحبك، سكبيدي، هيا بنا من هنا، أسلوب سيغما,我爱你，我的小猫，走吧，我们从这里离开，Sigma的风格,私があなたを愛している、私の小さな猫、行こう、ここから出よう、シグマのスタイル,"I love you, my little cat, let's go, let's get out of here, in the style of Sigma."
310,"Fam, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I'm also smoking a little marijuana."
311,"Bruh, big yikes","Hombre, gran asco.",إنسان، عار.,人类，丢脸。,人間、恥ずかしい。,I am embarrassed.
312,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
313,"Bruh, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
314,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
