candidate set,score category,score column,gold column,gold comparison,threshold,precision,recall,f1,predicted count,gold count,candidate count
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,23.894,0.052,0.802,0.097,24245,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,24.803,0.050,0.717,0.094,22408,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,25.910,0.049,0.640,0.091,20542,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,26.892,0.054,0.640,0.100,18595,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,28.566,0.056,0.602,0.103,16801,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,30.027,0.063,0.602,0.115,14896,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,31.757,0.073,0.602,0.130,13005,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,33.293,0.057,0.408,0.101,11165,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,36.303,0.062,0.365,0.106,9257,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,38.581,0.049,0.234,0.082,7437,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,42.347,0.054,0.193,0.085,5591,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,45.692,0.000,0.000,0.000,3746,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,49.268,0.000,0.000,0.000,1858,1568,44724
phrase candidates,gap,gap,is_gold_phrase,gold phrases only,63.121,0.000,0.000,0.000,0,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,0.000,0.035,1.000,0.068,44724,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,3.775,0.037,1.000,0.071,42864,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,4.241,0.038,1.000,0.074,41008,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,4.557,0.040,1.000,0.077,39131,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,4.950,0.042,1.000,0.081,37258,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,5.161,0.044,1.000,0.085,35421,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,5.348,0.047,1.000,0.089,33553,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,5.496,0.047,0.959,0.090,31678,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,5.703,0.050,0.959,0.096,29817,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,5.827,0.054,0.959,0.102,27893,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,5.968,0.058,0.959,0.109,26021,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,6.130,0.059,0.920,0.112,24239,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,6.296,0.061,0.873,0.114,22403,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,6.487,0.054,0.705,0.100,20498,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,6.659,0.059,0.705,0.110,18599,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,6.872,0.066,0.705,0.121,16749,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,7.164,0.059,0.559,0.106,14930,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,7.403,0.067,0.559,0.120,13003,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,7.573,0.063,0.445,0.110,11131,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,7.816,0.061,0.362,0.104,9340,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,8.116,0.044,0.209,0.073,7404,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,8.463,0.034,0.123,0.054,5615,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,8.900,0.017,0.041,0.024,3792,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,9.570,0.035,0.041,0.038,1812,1568,44724
phrase candidates,avg gap,average gap,is_gold_phrase,gold phrases only,12.449,0.000,0.000,0.000,55,1568,44724
