sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
"""The team is mission-driven""",mission-driven,slang,crypto_slang_dataset,1,0
"""This is a grassroots project""",grassroots,slang,crypto_slang_dataset,1,0
"""This coin is a hidden gem""",Hidden gem,slang,crypto_slang_dataset,0,1
"""We survived the crypto winter""",Crypto Winter,slang,crypto_slang_dataset,0,1
"""Crypto summer is here""",Crypto Summer,slang,crypto_slang_dataset,0,1
"""I aped into that token too late""",aped,slang,crypto_slang_dataset,1,0
"""They are mememaxxing hard""",mememaxxing,slang,crypto_slang_dataset,1,0
"""That post was a banger""",banger,slang,crypto_slang_dataset,1,0
"""This token has a cult following""",cult,slang,crypto_slang_dataset,1,0
"""Join the GC for alpha""",gc,slang,crypto_slang_dataset,1,0
"""I’m finally in profit""",in profit,slang,crypto_slang_dataset,0,1
"""I did a full round trip on that trade""",round trip,slang,crypto_slang_dataset,0,1
"""I wrote a deep dive on this token""",deep dive,slang,crypto_slang_dataset,0,1
"""We’re in a memecoin frenzy""",memecoin frenzy,slang,crypto_slang_dataset,0,1
":""The team builds with no empty promises""",no empty promises,slang,crypto_slang_dataset,0,1
"""The project is building an NFT metaverse""",nft metaverse,slang,crypto_slang_dataset,0,1
"""Dog meta is trending again""",dog meta,slang,crypto_slang_dataset,0,1
"""This project is a meme with utility""",meme with utility,slang,crypto_slang_dataset,0,1
"""It’s a fully community-powered project""",community-powered,slang,crypto_slang_dataset,1,0
"""This is a true community token""",community token,slang,crypto_slang_dataset,0,1
"""Users can vote with token holdings""",vote with token,slang,crypto_slang_dataset,0,1
"""He bought metaverse land early""",metaverse land,slang,crypto_slang_dataset,0,1
"""AI metaverse projects are emerging""",ai metaverse,slang,crypto_slang_dataset,0,1
"""Martians are holding strong""",martians,slang,crypto_slang_dataset,1,0
"""This project is on a mission to mars""",mission to mars,slang,crypto_slang_dataset,0,1
"""The burn mechanism reduces supply""",burn mechanism,slang,crypto_slang_dataset,0,1
"""It’s a lore driven token with a strong story""",lore driven token,slang,crypto_slang_dataset,0,1
"""The Viking army is raiding socials daily""",viking army,slang,crypto_slang_dataset,0,1
"""Probably nothing, just BTC breaking resistance""",probably nothing,slang,crypto_slang_dataset,0,1
"""Market looking (3,3) right now""","(3,3)",slang,crypto_slang_dataset,0,1
"""That wallet moved… IYKYK""",IYKYK,slang,crypto_slang_dataset,1,0
"""That shill post is cringe""",CRINGE,slang,crypto_slang_dataset,1,0
"""He went full port on that meme coin""",FULL PORT,slang,crypto_slang_dataset,0,1
"""My portfolio is bleeding today""",Bleeding,slang,crypto_slang_dataset,1,0
"""His bags are heavy after that dump""",bags are heavy,slang,crypto_slang_dataset,0,1
"""Don’t be their exit liquidity""",exit liquidity,slang,crypto_slang_dataset,0,1
"""I bought that pump with monkey brain""",monkey brain,slang,crypto_slang_dataset,0,1
"""Feels like spinning the wheel at this point""",spinning the wheel,slang,crypto_slang_dataset,0,1
"""Hold the line, we’re not selling""",hold the line,slang,crypto_slang_dataset,0,1
"""That dip was just a shakeout""",shakeout,slang,crypto_slang_dataset,1,0
"""He panic sold, total paper hands""",paper hands,slang,crypto_slang_dataset,0,1
"""Check it on Memescope""",MEMESCOPE,slang,crypto_slang_dataset,1,0
"""Got that play from TG calls""",TG CALLS,slang,crypto_slang_dataset,0,1
"""Use Photon for sniping launches""",PHOTON,slang,crypto_slang_dataset,1,0
"""Be careful, this coin has no dev""",NO DEV,slang,crypto_slang_dataset,0,1
"""Pump is crazy, I love you guys""",I LOVE YOU,slang,crypto_slang_dataset,0,1
"""No roadmap, just vibes""",JUST VIBES,slang,crypto_slang_dataset,0,1
"""This is a based dev, I'm holding""",BASED DEV,slang,crypto_slang_dataset,0,1
"""They keep saying utility coming soon""",UTILITY COMING SOON,slang,crypto_slang_dataset,0,1
"""This is a low liq gem, early entry""",low liq gem,slang,crypto_slang_dataset,0,1
"""Chart looks strong, might send""",might send,slang,crypto_slang_dataset,0,1
"""Team announced a buyback""",buyback,slang,crypto_slang_dataset,1,0
"""Ignore him, he's just a troll""",troll,slang,crypto_slang_dataset,1,0
"""This could be a generational meme""",generational meme,slang,crypto_slang_dataset,0,1
"""They just dropped merch""",merch,slang,crypto_slang_dataset,1,0
"""Skeptics will regret not buying""",skeptics,slang,crypto_slang_dataset,1,0
"""Only believers are still holding""",believers,slang,crypto_slang_dataset,1,0
"""Big listings coming soon""",listings,slang,crypto_slang_dataset,1,0
"""Market is in full euphoria""",euphoria,slang,crypto_slang_dataset,1,0
